Home Scoring,Home Pass Yds,Home Rush Yds,Home Fumbles,Home Ints,Away Scoring,Away Pass Yds,Away Rush Yds,Away Fumbles,Away Ints,Home Field Adv,Target
16.5,209.5,101.5,2.5,0.5,24,253,83.5,1,0.5,0,1
23.5,203,131.5,1,0.5,14,208,139.5,2,1,0,0
21,185,132,0,1,15,169,99.5,2,0,1,1
20.5,179.5,76,1.5,1.5,19.5,285.5,125,3.5,0.5,1,0
14,267,106.5,3,1,19,125,127,1,0.5,1,0
16,209,96.5,3,2.5,24,222.5,118.5,1,2,1,0
11,252.5,71.5,1,2,16,266.5,127.5,3.5,0.5,0,1
9.5,155,70.5,1,0.5,14.5,209.5,105.5,0.5,0,0,0
10.5,226.5,61.5,2,0.5,16,271.5,95,3,0.5,1,0
15,238.5,124,5.5,0.5,25.5,203.5,145,2,1.5,1,1
11.5,260,69,1,1.5,27.5,170,105.5,0,0.5,1,1
18.5,302,66.5,1.5,0,20.5,194.5,180,0.5,0.5,0,0
15.5,296.5,99,2,0.5,22.5,119,134.5,0.5,0,1,1
16.5,209.5,101.5,2.5,0.5,24,253,83.5,1,0.5,0,1
21,307.5,66.5,2,1.5,32.5,185,187.5,0.5,2,1,1
7.5,198,70,1,1.5,22.5,203.5,78,0.5,0.5,1,0
18.25,194.5,108.75,1.5,2.25,22.5,238.25,98.5,1,1,0,0
13.25,190,104.25,1,2,13,176.5,96.75,2,0.75,0.5,1
19.25,161.75,120,3,1.25,26.25,201.5,125,3.75,1.5,0.5,0
25.25,235.75,98.25,0.75,0.5,17.25,201.5,99.25,0.75,0.75,0,1
26,263,110.5,0.5,0.5,19.5,378.75,50.25,0.75,0.5,0,0
14.25,206.75,79.5,2,1.25,13.75,174.75,118,2.25,1.25,0,0
15.25,222.75,97.5,0.75,1,20.25,230.75,128,1.5,1,0,0
23.25,167,100.5,0.5,0.75,14,256.75,93.25,2.25,1.25,0,1
18.25,263,127.5,2.25,1.25,18.5,214.25,83.5,1.75,0.75,0,1
16,299.75,80.25,0.75,1.25,18.25,285.75,98,3,0.5,0.5,1
24,246.5,113,0.75,2,27.5,278,137.75,1.75,0.75,0,0
19,195.5,127.5,2.5,1,20.75,226.75,153.75,2.5,1.5,0.5,1
24,217.5,132.75,1.25,0.75,25,272.75,111.75,1.25,0.75,0,0
19.75,191,98,1,2,22.25,291,93.5,1.5,1,0,1
13.25,198,88.25,1.25,0.75,14.25,164.5,114.5,1.5,0.75,1,0
18.25,237.5,103,1.75,0.75,23.75,247,69.75,1.5,1.25,0,1
19,273.6666667,82.66666667,1.333333333,1.5,20.16666667,234.1666667,109.1666667,2.333333333,1.333333333,0,1
16.66666667,201,110.6666667,1.666666667,1.333333333,19.33333333,220.1666667,111.5,0.833333333,1,0,1
15.66666667,224.5,82.16666667,1,1.333333333,25.83333333,206.5,136.8333333,1,0,0.333333333,0
18.83333333,141.1666667,138.8333333,1.5,0.5,12.83333333,229.3333333,74.33333333,2,1.666666667,0,0
23.83333333,202.5,115.8333333,1.833333333,1,17.16666667,281.1666667,91.66666667,2.333333333,0.833333333,0,0
26,269.3333333,122,1.666666667,1,17.16666667,210.8333333,91.33333333,1.5,1.333333333,0,1
27.33333333,229.8333333,135.8333333,0.5,0.5,14,249.5,89.66666667,1.333333333,1.833333333,0,1
22.33333333,248.6666667,84.16666667,0.833333333,1.166666667,15,204.6666667,121.6666667,2.5,1.5,0,1
21.66666667,304.5,100.8333333,1.666666667,0.666666667,25.5,214.6666667,139.6666667,0.833333333,1,0.333333333,0
16.83333333,218.6666667,128,1.5,1.333333333,28.66666667,322.1666667,98.33333333,1.166666667,0.5,-0.333333333,1
24.83333333,303.3333333,131.3333333,2,1.333333333,18.16666667,194,103.8333333,2.333333333,1.5,0,1
25,298,118.5,1.166666667,0.333333333,19.66666667,243.5,101.5,1,1,0.333333333,0
17.66666667,278.5,77.33333333,1.666666667,1.666666667,25.16666667,237.5,104.3333333,1.833333333,0.833333333,0,1
22.33333333,245.1666667,115.5,1,0.666666667,23.5,229.6666667,120.3333333,0.833333333,0.833333333,0.333333333,0
16.75,259.375,98.25,2.5,1.375,22.875,247.75,114.875,1.5,1.375,0.5,1
21.5,236,103.25,1,1,24.5,198.875,151.75,0.875,0.625,0.25,0
18.25,226.375,108.125,1.25,0.875,23.125,275.5,97.75,1.375,1,0,1
18.25,226.875,92.625,1.125,1.125,17.75,242.75,85.875,1.5,0.5,0.25,1
19.70833333,235.75,116.6666667,1.583333333,1.375,18.08333333,199.8333333,101.9166667,1.25,1.083333333,0.416666667,0
14.25,219.5,90.125,2.25,1.25,19.5,236.875,91.125,1.625,1.125,0,0
24.5,213.25,144.625,1.25,1.125,21.75,303.25,101.875,1.375,1,0.25,0
20.95833333,297.125,75.25,1.708333333,0.458333333,22.83333333,195.7083333,155.0833333,0.916666667,0.875,0.416666667,1
16,217.875,106.375,1.375,1.5,21.25,245.375,126.75,0.625,0.75,0,0
16.25,193.625,118.625,2.25,1.125,24.625,264.125,114,1.5,0.75,0.5,1
18.375,211.125,110.125,2,1.625,27.5,246.375,147.125,1.5,0.75,0,1
17.5,275.4166667,86,1.583333333,0.833333333,21.08333333,197.3333333,108.4583333,1.875,0.708333333,0.416666667,0
16.375,209.125,108.75,1.375,1.625,24.75,246.375,119.875,1.25,0.625,0.25,0
19.58333333,188.125,127.5416667,1.166666667,0.333333333,14.79166667,222.875,109.0416667,1.416666667,1.5,0.166666667,1
18.9,205.9,94.1,1.2,1.5,23.6,300.6,117.4,2.5,0.8,-0.2,1
23.4,219.925,112.375,1.1,0.975,17.15,243.375,105.9,1.075,1.225,0.1,0
18.825,263,85.675,1.425,1.425,16.775,220.45,79.05,1.575,1.45,0.1,0
19.45,211.275,111.15,1.975,0.775,19.9,242.875,109.425,1.55,1.625,0.1,0
20.45,192.95,126.75,1.025,0.8,14.05,225.35,82.525,2.275,1.35,0.1,1
19.2,247.6,108.5,1.9,1.1,21.6,222.7,137.3,0.8,1.1,0,1
23.575,197.575,111.725,1.075,0.35,21.2,252.5,113.125,0.875,1.475,-0.1,1
21.8,255.5,131.7,2,1.5,22.4,217.7,90.3,1.9,1.3,-0.2,1
18.925,248.675,111.45,1.05,0.875,23.225,253.05,114.175,0.875,0.775,-0.1,1
18.5,298.4,65.4,1.6,0.8,25.1,200.9,146.3,0.9,0.3,0.2,0
21,229.5,112.8,1.9,1.1,24.1,233.5,122.8,1.7,1,0.2,1
18.75,215.375,116.875,1.375,1.125,18.5,265.625,99.75,0.875,0.875,0,1
19,237.8,115.4,1.3,0.6,22.8,316.6,96,1.5,0.6,-0.2,0
20.2,226.5,124.3,1.6,1.3,26.9,232.5,120.5,1.8,0.7,0,0
17.41666667,237.1,98.35,2.166666667,0.716666667,19.68333333,220.8833333,130.6666667,1.216666667,1.666666667,0.066666667,1
25.43333333,220.05,146.95,1.2,0.6,16.61666667,177.6833333,105.95,1.183333333,0.65,0.266666667,1
23.5,193,128.1666667,1.583333333,1,20.91666667,262.3333333,115.9166667,1.833333333,1,0,1
21.25,258.5,109.25,1.25,0.833333333,16.33333333,212.25,101.5833333,2.083333333,1,0,0
14.9,246.5,89.6,1.6,1.4,22.6,194.9,120.2,1.1,0.9,0.2,0
16.78333333,186.5166667,105.3833333,1.816666667,1.4,18.75,214.95,112.7833333,1.5,1.65,-0.1,1
24.71666667,223.6833333,137.8833333,0.883333333,0.633333333,18.36666667,222.3,112.9,1.183333333,1.05,0.266666667,1
19.25,265.75,107.0833333,1.666666667,1,17.5,246.25,88.33333333,1.5,1,0.166666667,0
21.03333333,224.7166667,122.9166667,1.333333333,1.033333333,18.41666667,255.7833333,100.6166667,1.366666667,1.516666667,0.066666667,1
23.6,234.5,113.3,1.2,1.3,18.5,246.9,78.9,2.1,1.2,0,1
24.68333333,309.7,113.05,1.316666667,1.116666667,25.9,211.8,107.35,1.05,0.983333333,0.266666667,0
22.91666667,267,108.4166667,1.416666667,0.416666667,21.66666667,209.4166667,128.9166667,1.75,1.083333333,0,0
20.38333333,228.7333333,102.0166667,1.083333333,0.983333333,18.03333333,217.9833333,118.2666667,1.383333333,1.283333333,0.1,1
20.03333333,254.7666667,93.91666667,1.533333333,1.283333333,22.26666667,221.25,118.5666667,1.416666667,0.866666667,0.266666667,0
19.4047619,202.4285714,120.4642857,0.845238095,1.404761905,15.60714286,213.4285714,101.9047619,2.55952381,1.19047619,0.095238095,1
21.66666667,288.6309524,96.42857143,2.011904762,1.238095238,20.95238095,244.952381,117.7738095,1.702380952,1.083333333,0.238095238,1
22.96428571,210.5714286,141.7261905,1.071428571,0.880952381,20.3452381,253.1666667,94.64285714,1.571428571,1.05952381,0.071428571,0
26.3452381,281.9047619,107.5,0.833333333,0.869047619,21.95238095,201.452381,122.5238095,1.30952381,1.202380952,0.071428571,0
22.25,257.25,100.5,1.5,0.833333333,21,236.1666667,112.5,1.25,1.25,0.166666667,0
22.28571429,222.8571429,124.2857143,1.285714286,1.071428571,21.42857143,266.5,87.28571429,1.642857143,0.785714286,0.142857143,1
29,194.3333333,175.5,1,0.333333333,19.41666667,229,100.1666667,1.416666667,0.916666667,0,1
21,294.8571429,101.5,2,1.285714286,24.85714286,181.2142857,108.5,1.642857143,0.857142857,0.142857143,1
18.83333333,186.5833333,124.6666667,2.333333333,1.5,21.5,233,119,1.75,0.833333333,0.333333333,0
21.70238095,243.0714286,117.9642857,2.047619048,1.071428571,21.78571429,210.6190476,117.1785714,1.273809524,0.714285714,0.071428571,1
24.41666667,221.3333333,105.1666667,0.75,0.833333333,20.58333333,245.3333333,116.9166667,1.416666667,1.5,0,1
17.33333333,270.9285714,78.11904762,2.023809524,1.464285714,21.27380952,191.1547619,113.7738095,1.904761905,0.702380952,-0.071428571,1
