Home Scoring,Home Pass Yds,Home Rush Yds,Home Fumbles,Home Ints,Away Scoring,Away Pass Yds,Away Rush Yds,Away Fumbles,Away Ints,Home Field Adv,Target,Home Twitter Sentiment,Away Twitter Sentiment,Home Twitter Rate,Away Twitter Rate,Unnamed: 0
16.5,209.5,101.5,2.5,0.5,24,253,83.5,1,0.5,0,1,0.123208257,0.156982386,-2.985074627,-3.646532438,
23.5,203,131.5,1,0.5,14,208,139.5,2,1,0,0,0.0907,0.114449393,-3.059701493,-2.547307132,
21,185,132,0,1,15,169,99.5,2,0,1,1,0.187729952,0.05962,-2.582608696,-2.507739938,
20.5,179.5,76,1.5,1.5,19.5,285.5,125,3.5,0.5,1,0,0.034241546,0.074548684,-1.050420168,-2.437304075,
14,267,106.5,3,1,19,125,127,1,0.5,1,0,0.120004878,0.100415646,-1.690544413,-3.064516129,
16,209,96.5,3,2.5,24,222.5,118.5,1,2,1,0,0.087669512,0.058286207,-2.475247525,-2.170542636,
11,252.5,71.5,1,2,16,266.5,127.5,3.5,0.5,0,1,0.237155128,0.116098649,-1.258064516,-2.959381044,
9.5,155,70.5,1,0.5,14.5,209.5,105.5,0.5,0,0,0,0.127335354,0.116065306,-2.283702213,-2.963752665,
10.5,226.5,61.5,2,0.5,16,271.5,95,3,0.5,1,0,0.113806512,0.112608443,-2.884496603,-1.778058008,
15,238.5,124,5.5,0.5,25.5,203.5,145,2,1.5,1,1,0.084336879,0.119771429,-2.65560166,-2.73480663,
11.5,260,69,1,1.5,27.5,170,105.5,0,0.5,1,1,0.173133333,0.156155396,-2.982791587,-3.114355231,
18.5,302,66.5,1.5,0,20.5,194.5,180,0.5,0.5,0,0,0.17813,0.149038889,-3.103592314,-1.641025641,
15.5,296.5,99,2,0.5,22.5,119,134.5,0.5,0,1,1,0.110877869,0.09311982,-2.885638298,-2.724252492,
16.5,209.5,101.5,2.5,0.5,24,253,83.5,1,0.5,0,1,0.054066337,0.141014539,-2.576107011,-2.222222222,
